PetID,age_adult,is_young,is_mixed_breed,gender_male,gender_female,sterilized_yes,byu,quality,adopted_30d
610246129,1,0,0,0,1,1,0.304,0.6795,0
8b5a5458e,1,0,0,1,0,1,0.5722,0.6785,1
c1ecd33ac,1,0,0,1,0,1,0.5593,0.6775,1
01c62e03b,1,0,0,1,0,1,0.4817,0.6771,0
189bb90dc,0,1,0,0,1,0,0.4995,0.6759,1
611970ebc,1,0,0,0,1,1,0.3143,0.6756,0
7e43ebd6c,1,0,0,1,0,1,0.6866,0.6754,1
5ff1a0cae,0,1,1,1,0,1,0.4907,0.6724,1
2ac3ca459,1,0,0,0,1,0,0.6166,0.6714,0
caa16cc3c,1,0,0,0,1,1,0.5173,0.6713,1
bad338993,0,0,0,0,1,0,0.4437,0.6703,0
9b0744be7,1,0,0,0,1,0,0.6317,0.6697,1
b5931099f,1,0,0,1,0,1,0.4397,0.668,1
64a3f89ee,1,0,0,0,1,0,0.5991,0.6671,1
77d4eba90,1,0,0,0,1,1,0.3985,0.6669,0
3060d192f,1,0,0,1,0,1,0.6599,0.6654,1
170fa3d49,1,0,0,0,1,0,0.6503,0.6649,0
74c7373bd,0,1,1,1,0,1,0.2535,0.6642,0
a5f82d04e,1,0,0,0,1,1,0.5626,0.664,1
91add3784,1,0,0,0,1,1,0.4163,0.6604,1
97b32f734,0,1,0,1,0,1,0.6751,0.6602,1
789083f3a,1,0,0,0,1,1,0.5818,0.6599,0
c8f5f9120,0,1,0,1,0,0,0.667,0.6585,1
de59f42db,0,1,1,1,0,1,0.5528,0.6564,1
1d5be4060,1,0,0,1,0,1,0.6696,0.6563,0
db2d1ccaf,0,1,0,0,1,0,0.4022,0.656,0
f677061e8,1,0,0,0,1,1,0.5776,0.6536,1
bf8aa8f96,1,0,0,0,1,1,0.4515,0.6518,0
476dc0901,0,1,0,0,1,0,0.2361,0.6514,0
fc43d7ddb,1,0,0,0,1,1,0.227,0.6489,0
5b4caee59,0,1,1,1,0,1,0.5367,0.6363,0
e83f846eb,0,1,1,1,0,1,0.5227,0.6354,1
ed6684f3a,0,1,0,1,0,0,0.6763,0.6269,0
ac52ba660,0,1,1,1,0,1,0.5057,0.6235,0
aba758b7f,0,1,0,1,0,0,0.5658,0.6126,0
c3eefdcd8,0,1,1,1,0,1,0.2434,0.611,0
6784b2fcd,0,1,1,1,0,1,0.4387,0.6105,0
a99e4b365,0,1,0,1,0,1,0.5835,0.608,0
2d813cd28,0,1,1,1,0,1,0.3061,0.5951,0
a6af385f0,0,1,0,0,1,1,0.5739,0.5913,1
ec13e5f25,0,1,0,0,0,0,0.571,0.5884,1
d412201f6,0,1,0,1,0,1,0.635,0.5866,1
965b31ba7,0,1,0,1,0,0,0.6814,0.5866,1
a2037a7b0,0,1,0,0,1,0,0.4454,0.5852,1
5c4742e35,0,1,0,0,1,0,0.5615,0.5832,0
a672ea96d,0,1,0,0,1,0,0.5944,0.5809,1
36ea16468,0,1,1,1,0,1,0.3336,0.5782,0
01e410583,0,1,1,1,0,1,0.4297,0.5767,0
7a875ef01,0,1,0,0,1,0,0.4345,0.5749,0
65d10be4d,0,1,1,1,0,1,0.5584,0.5727,0
11a3055b7,0,1,0,1,0,0,0.7421,0.5725,0
4b4bb2b0a,0,1,1,1,0,1,0.4627,0.5699,0
a8e6ad61c,0,1,0,0,1,0,0.444,0.5692,0
611045510,0,1,1,1,0,1,0.5266,0.5673,1
ccc88931c,0,1,1,1,0,1,0.5112,0.5637,1
a19305a1a,0,1,0,1,0,0,0.7713,0.5559,1
b75594e30,0,1,1,1,0,1,0.4961,0.5542,1
82c51a95a,0,1,0,1,0,0,0.7388,0.5518,1
8c7dbce06,0,1,1,1,0,1,0.4085,0.551,0
9120f2894,0,1,1,1,0,1,0.5196,0.548,1
420bdee9f,0,1,1,1,0,1,0.4415,0.5469,1
06abc52ac,0,1,0,1,0,0,0.6734,0.5457,0
d7dc2efde,0,1,0,1,0,0,0.6591,0.5432,1
fe250bce9,0,1,0,0,1,0,0.576,0.5345,1
8d047d078,0,1,0,0,1,0,0.6185,0.5254,0
15a491e20,0,1,0,0,1,0,0.5896,0.523,0
f0b2787f5,0,1,0,0,1,0,0.4031,0.5172,0
c30dd6e9a,0,1,0,1,0,0,0.6995,0.5172,1
087804d85,0,1,0,1,0,0,0.6782,0.5148,1
156da1714,0,1,0,0,1,0,0.6206,0.5129,1
40c204453,0,1,0,0,0,0,0.5569,0.5107,1
e5cecf5df,0,1,0,1,0,0,0.7144,0.5094,1
8f128d3ed,0,1,0,0,1,0,0.6574,0.5075,1
31e266863,0,1,0,0,1,0,0.677,0.5034,1
a2ee6f2da,0,1,0,0,0,0,0.713,0.5015,1
ca75db93c,0,1,0,1,0,1,0.6174,0.501,1
fc6976a96,0,1,0,0,1,0,0.5673,0.5,0
0ed23a049,0,1,0,1,0,0,0.6907,0.4962,1
1ca147dd8,0,1,0,0,1,0,0.3623,0.4915,0
495ce6c73,0,1,0,0,0,0,0.6358,0.4904,1
8a38740d1,0,1,0,0,1,0,0.6429,0.489,1
f05665d6d,0,1,0,1,0,1,0.7214,0.4716,1
0fc2dc3cb,0,1,0,1,0,0,0.6722,0.4517,1
6ec9364a7,0,1,0,1,0,0,0.627,0.4513,1
290cdc8ee,0,1,0,0,1,1,0.6417,0.4348,1
115299f16,0,1,0,1,0,0,0.7136,0.4133,1
2bf4445c7,0,1,0,1,0,0,0.6809,0.4106,1
a64ca36ca,0,1,0,1,0,0,0.7062,0.407,1
95696f11b,0,1,0,1,0,0,0.7181,0.3793,1
3b0b2a86a,0,1,0,1,0,0,0.7065,0.369,1
b16b24c21,0,1,0,1,0,0,0.4203,0.3623,0
4348b169a,0,1,0,1,0,0,0.6472,0.355,1
23baf0395,0,1,0,1,0,0,0.6266,0.3386,1
081301773,0,1,0,0,1,1,0.6166,0.2253,0
